"nomPrenom","labelType","type","intitule","duree","periode"
"A. Dolgui","mbrConseil","Membre du conseil scientifique d'une université","Conseil scientifique de l'Université de technologie de Troyes",,"2018-2020"
"A. Przybylski","invSem","Invitations à des séminaires","Seminar entitled « A Simple and Efficient Dichotomic Search Algorithm for Multi-Objective Integer Linear Programme », Technische Hochschule Nurnberg Georg Simon Ohm, Germany, France
",,"21/03/17"
"X. Gandibleux et A. Przybylski","invSem","Invitations à des séminaires","Seminar entitled « Optimisation combinatoire multi-objectif : deux contributions issues du projet de recherche ANR-DFG vOpt », SPOC16, Université Paris-Dauphine, France",,"15/12/18"
"X. Gandibleux et A. Przybylski","invColl","Invitations à des colloques/congrès","Tutorial entitled « Algorithmes de branch and boud multi-objectif et vOpt », Tutoriel 2018 du GDR RO",,"22/02/18"
"A. Przybylski","invColl","Invitations à des colloques/congrès","Opening talk for the residential seminar RAMOO « Branch and (mainly) bound for (mainly) bi-objective optimization - Review of the main components », Nantes, France",,"12/11/18"
"A. Przybylski","invSem","Invitations à des séminaires","Seminar entitled « Bi-objective bi-dimensional knapsack problem : bound sets and exact solution », séminaire « Modélisation des préférences et aide multicritère à la décision », Université Paris Dauphine, France",,"07/05/19"
"A. Przybylski","invColl","Invitations à des colloques/congrès","Tutorial entitled « Optimisation combinatoire multi-objectif : algorithmes de résolution exacte et solveur vOpt », JuliaNantes, journée « Julia et Optimisation », Université de Nantes, France",,"17/06/19"
"A. Przybylski","invEco","Invitations à des écoles d'été","Presentation entitled « Exact Solution Methods for Multi-objective Combinatorial Optimization (without preference) », ATOM2017: Multiobjective optimization summer school, Villeneuve d'Ascq, France",,"14/06/17"
"D. Lemoine","invEco","Invitation à une école d'été","Tutorial entitled « Systèmes à évènements discrets et ordonnancement : théories, applications et comparaison aux approches de Recherche Opérationnelle »",,"03-05/06/2019"
"A. Przybylski","sejEtr","Séjours dans les laboratoires étrangers (uniquement pour un séjour supérieur ou égal à 1 semaine)","Université de Wuppertal, Allemagne",,"10/2016-03/2017"
"F. Lehuédé","sejEtr","Séjours dans les laboratoires étrangers (uniquement pour un séjour supérieur ou égal à 1 semaine)","CIRRELT Montréal, Canada",,"02/2017-07/2017"
"E. Gurevsky","sejEtr","Séjours dans les laboratoires étrangers (uniquement pour un séjour supérieur ou égal à 1 semaine)","Université de Leeds, Angleterre",,"23/05/2016 - 29/05/2016"
"E. Gurevsky","sejEtr","Séjours dans les laboratoires étrangers (uniquement pour un séjour supérieur ou égal à 1 semaine)","Université de Turku, Finlande",,"24/10/2016 - 30/10/2016"
"F. Lehuédé","invJur","Invitation dans des jurys internationaux,EURO working group on Vehicle Routing and Logistics optimization Doctoral Dissertation Prize",,"2020-...",
